01611,42.2373,-71.875,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01612,42.3066,-71.9202,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01613,42.2933,-71.802,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01614,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01615,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01655,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01702,42.2822,-71.4339,Boston,http://boston.craigslist.org/,Massachusetts
01703,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01705,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01721,42.2539,-71.4583,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01730,42.4843,-71.2768,Boston,http://boston.craigslist.org/,Massachusetts
01741,42.5286,-71.3519,Boston,http://boston.craigslist.org/,Massachusetts
01745,42.2934,-71.5028,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01746,42.2026,-71.4361,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01747,42.1268,-71.5376,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01748,42.219,-71.5302,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01749,42.3918,-71.5609,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01752,42.3509,-71.5434,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01754,42.4321,-71.455,Boston,http://boston.craigslist.org/,Massachusetts
01756,42.0967,-71.5499,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01757,42.1511,-71.5274,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01760,42.2875,-71.3574,Boston,http://boston.craigslist.org/,Massachusetts
01770,42.2331,-71.3787,Boston,http://boston.craigslist.org/,Massachusetts
01772,42.2939,-71.532,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01773,42.4217,-71.3137,Boston,http://boston.craigslist.org/,Massachusetts
01775,42.4308,-71.515,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01776,42.3837,-71.4282,Boston,http://boston.craigslist.org/,Massachusetts
01784,42.4464,-71.4594,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01801,42.4829,-71.1574,Boston,http://boston.craigslist.org/,Massachusetts
01803,42.5089,-71.2004,Boston,http://boston.craigslist.org/,Massachusetts
01805,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01807,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01808,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01810,42.6496,-71.1565,Boston,http://boston.craigslist.org/,Massachusetts
01827,42.6739,-71.4952,New Hampshire,http://nh.craigslist.org/,New Hampshire
01831,42.7711,-71.1221,New Hampshire,http://nh.craigslist.org/,New Hampshire
01832,42.7792,-71.1095,New Hampshire,http://nh.craigslist.org/,New Hampshire
01834,42.753,-71.027,New Hampshire,http://nh.craigslist.org/,New Hampshire
01835,42.7528,-71.0843,New Hampshire,http://nh.craigslist.org/,New Hampshire
01840,42.708,-71.1638,Boston,http://boston.craigslist.org/,Massachusetts
01841,42.7115,-71.167,Boston,http://boston.craigslist.org/,Massachusetts
01842,42.6354,-70.8791,Boston,http://boston.craigslist.org/,Massachusetts
01843,42.6911,-71.1605,Boston,http://boston.craigslist.org/,Massachusetts
01844,42.728,-71.181,New Hampshire,http://nh.craigslist.org/,New Hampshire
01845,42.6826,-71.109,Boston,http://boston.craigslist.org/,Massachusetts
01850,42.656,-71.3051,Boston,http://boston.craigslist.org/,Massachusetts
01851,42.6315,-71.3329,Boston,http://boston.craigslist.org/,Massachusetts
01852,42.6344,-71.2983,Boston,http://boston.craigslist.org/,Massachusetts
01853,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01854,42.6493,-71.3355,Boston,http://boston.craigslist.org/,Massachusetts
01860,42.8346,-71.0047,New Hampshire,http://nh.craigslist.org/,New Hampshire
01864,42.5819,-71.0947,Boston,http://boston.craigslist.org/,Massachusetts
01865,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01867,42.528,-71.109,Boston,http://boston.craigslist.org/,Massachusetts
01879,42.6724,-71.4158,New Hampshire,http://nh.craigslist.org/,New Hampshire
01880,42.5009,-71.0685,Boston,http://boston.craigslist.org/,Massachusetts
01885,42.6354,-70.8791,Boston,http://boston.craigslist.org/,Massachusetts
01886,42.5864,-71.4401,Boston,http://boston.craigslist.org/,Massachusetts
01887,42.5581,-71.1723,Boston,http://boston.craigslist.org/,Massachusetts
01888,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
01889,42.5716,-71.1096,Boston,http://boston.craigslist.org/,Massachusetts
